bloque,id_registro,etiqueta_llm,confianza_llm,justificacion_llm,modelo
semilla,3012,positivo,0.9,Elogia mejoras y recomienda sin reservas,openai/gpt-oss-120b
semilla,195,positivo,0.85,"Destaca rapidez y personalización, tono favorable",openai/gpt-oss-120b
semilla,693,negativo,0.9,"Queja por larga espera, insatisfacción clara",openai/gpt-oss-120b
semilla,2565,muy positivo,0.92,"Recomienda fuertemente, destaca buenas promociones",openai/gpt-oss-120b
semilla,1979,positivo,0.85,"Planea volver, muestra satisfacción moderada",openai/gpt-oss-120b
semilla,323,neutral,0.8,"Solo describe ubicación, sin valoración",openai/gpt-oss-120b
semilla,2011,muy negativo,0.95,"Expresa imposibilidad y enojo, desaconseja",openai/gpt-oss-120b
semilla,2088,neutral,0.85,Combina elogio personal y queja de otros,openai/gpt-oss-120b
semilla,1920,positivo,0.85,"Elogia rapidez, menciona pequeños fallos",openai/gpt-oss-120b
semilla,3904,muy negativo,0.96,"Critica fuertemente ambiente y servicio, tono negativo",openai/gpt-oss-120b
semilla,1562,muy positivo,0.94,"Entusiasta elogio a descuentos, desea máxima calificación",openai/gpt-oss-120b
semilla,1752,positivo,0.85,"Elogia lugar, menciona única queja menor",openai/gpt-oss-120b
semilla,2160,negativo,0.88,Denuncia mal trato y falta de formalidad,openai/gpt-oss-120b
semilla,985,muy positivo,0.93,"Elogia atención, recomienda fuertemente",openai/gpt-oss-120b
semilla,4140,positivo,0.85,"Describe variedad y seguridad, recomienda visita",openai/gpt-oss-120b
semilla,2657,negativo,0.8,"Critica baño, insatisfacción puntual",openai/gpt-oss-120b
semilla,108,muy positivo,0.95,Expresa entusiasmo y agradecimiento,openai/gpt-oss-120b
semilla,1134,negativo,0.88,Queja por demoras y falta de cajas,openai/gpt-oss-120b
semilla,4258,positivo,0.85,"Elogia surtido y ofertas, menciona colas",openai/gpt-oss-120b
semilla,2430,muy negativo,0.94,"Critica atención y lentitud, tono fuertemente negativo",openai/gpt-oss-120b
semilla,4789,positivo,0.85,"Elogia tienda y servicio, menciona precios altos",openai/gpt-oss-120b
semilla,1735,neutral,0.8,"Describe concurrencia y faltas, sin fuerte preferencia",openai/gpt-oss-120b
semilla,1543,positivo,0.9,"Resalta variedad y calidad, tono favorable",openai/gpt-oss-120b
semilla,4513,negativo,0.88,"Queja logística, decide no comprar",openai/gpt-oss-120b
semilla,4603,muy positivo,0.96,"Entusiasmo extremo, elogio total",openai/gpt-oss-120b
semilla,4395,positivo,0.95,"Elogia variedad, precio y atención, sin quejas.",openai/gpt-oss-120b
semilla,2803,negativo,0.93,"Describe mala atención y descontento, sin gravedad.",openai/gpt-oss-120b
semilla,3931,neutral,0.9,Información objetiva sin elogios ni quejas predominantes.,openai/gpt-oss-120b
semilla,187,positivo,0.92,Elogia instalaciones y ambiente sin exageración.,openai/gpt-oss-120b
semilla,923,muy negativo,0.99,"Queja grave, enojo extremo, recomienda no usar.",openai/gpt-oss-120b
semilla,2166,muy negativo,0.98,"Enfado fuerte, denuncia fraude, sugiere desaparición.",openai/gpt-oss-120b
semilla,1698,negativo,0.94,Insatisfacción con atención y cansancio del personal.,openai/gpt-oss-120b
semilla,556,negativo,0.93,Queja por larga espera y lentitud del personal.,openai/gpt-oss-120b
semilla,992,muy positivo,0.97,Elogio entusiasta y recomendación implícita.,openai/gpt-oss-120b
semilla,4756,positivo,0.9,"Elogio breve a la variedad, sin críticas.",openai/gpt-oss-120b
semilla,2162,muy negativo,0.99,"Queja extensa, enojo fuerte, indica no volver.",openai/gpt-oss-120b
semilla,1221,positivo,0.92,"Elogia ofertas, ropa y ambiente, sin críticas.",openai/gpt-oss-120b
semilla,974,muy positivo,0.94,Entusiasmo y recomendación para coworking.,openai/gpt-oss-120b
semilla,74,neutral,0.85,Comentario descriptivo sin valoración clara.,openai/gpt-oss-120b
semilla,2393,negativo,0.9,Breve queja sobre mala atención.,openai/gpt-oss-120b
semilla,3096,positivo,0.93,"Elogia distribución, rapidez y servicios sin exageración.",openai/gpt-oss-120b
semilla,1238,muy positivo,0.96,"Entusiasmo y elogio constante, recomendación implícita.",openai/gpt-oss-120b
