id_revision,comentario_limpio,estrellas,sentimiento_estrella,sentimiento_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final_provisional,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia
1,"No me gusta este nuevo formato que han adquirido la cadena de metro, han hecho espacio para ropa, zapatos y no han considerado poner en su stock productos orgánicos, naturales que ayudaría a la alimentación de la pobablacion",3,neutral,NEG,0.9833364486694336,0.9833364486694336,0.014361840672791,0.0023017895873636,neutral,,,,
2,"Estuvo muy lleno, hay cajas vacíos y no atienden, el señor del modulo de paraíso se enoja por poner las cosas en el colchón y lo pide de mala manera, mejoren el personal",3,neutral,NEG,0.98233163356781,0.98233163356781,0.0151446992531418,0.0025236532092094,neutral,,,,
3,Unas bonitas instalaciones y sus promociones son muy buenas,3,neutral,POS,0.9818653464317322,0.00232625589706,0.0158083830028772,0.9818653464317322,neutral,,,,
4,No hay mucha variedad y la marca propia es de baja calidad. Poca amabilidad 👎…,3,neutral,NEG,0.9814513325691224,0.9814513325691224,0.0161260906606912,0.0024225506931543,neutral,,,,
5,"Es como Saga, ya no hay tanta variedad y los descuentos son en pocas prendas de vestir. Yo fui buscando una casaca de drill o algodón y lo único q tienen son esas casacas impermeables o polyester. Que decepcionado me fui.",3,neutral,NEG,0.9810491800308228,0.9810491800308228,0.0172769986093044,0.0016737831756472,neutral,,,,
6,"El nuevo diseño minimalista, similar al que inicio Interbank, contrasta con la deficiente atencion del personal de estaoficina principal del banco, ni siquiera hay un encargado o responsable ante la ausencia del gerente de oficina por vacaciones, y el problema que reporte sin solucionar, ha demejorado el servicio de este banco.",3,neutral,NEG,0.9809433817863464,0.9809433817863464,0.0166038796305656,0.0024528191424906,neutral,,,,
7,"El baño es un caos. Hay algunos productos que ya no encuentro y antes si habían. Como en todo metro esa letra pequeña de ""solo con tarjeta bonus"" fastidia al momento de comprar, hay algunos productos que ni lo tienen y te malogran el día cuando ya estas en caja por pagar, deberían ponerlo mas notable.",3,neutral,NEG,0.980781316757202,0.980781316757202,0.017290411517024,0.0019281884888187,neutral,,,,
8,La Atención pésima y contestan por compromiso gran favor que nos hacen igual a Nada.,3,neutral,NEG,0.9803925156593324,0.9803925156593324,0.0161786749958992,0.0034288230817764,neutral,,,,
9,"Le falta mejorar el servicio de atención al cliente porque demoran demasiado en la atención,lo peor es que no hay respeto por lo preferencial",3,neutral,NEG,0.9800066351890564,0.9800066351890564,0.0168233308941125,0.0031700823456048,neutral,,,,
10,"Es un lugar donde puedes encontrar de todo a buenos precios.. Lo malo es que las personas de seguridad se creen autoridad para darte órdenes, eso me parece una falta de respeto..",3,neutral,NEG,0.9795448780059814,0.9795448780059814,0.0161910615861415,0.0042639602907001,neutral,,,,
11,"La atención es lenta, y no tienen toda la capacidad necesaria para dar solución a los requerimientos del cliente. La espera muy larga para que no te den ninguna solución.",3,neutral,NEG,0.9794432520866394,0.9794432520866394,0.0170409772545099,0.0035158831160515,neutral,,,,
12,"La tienda en general está bien ambientada y hay buenos productos, es pequeña y algo congestionada pero es natural en está época pero pésima la atención del servicio de ""Recojo en Tienda"". Han habilitado un espacio al fondo del sotano en un rincón dónde hace un calor espantoso sin aire acondicionado, no hay espacio para los qué esperan y muchos están de pie, parece hecho adrede porqué el personal atiende a los clientes cómo a damnificados. Sí la tendencia es hacer qué el comercio On line funcione en nuestro país deberían darle siquiera algo de comodidad a la gente qué compra por internet, al fin y al cabo también somos clientes, ¿no lo creen?",3,neutral,NEG,0.978744626045227,0.978744626045227,0.0183904897421598,0.0028648916631937,neutral,,,,
13,"Poco personal y el que hay no tiene ninguna intención de atender al cliente. No saben indicar si hay tallas, donde están las prendas, si hay más de un artículo, etc Cuando les preguntas responden de mala gana y hasta les molesta!!! No me gusta la atención que recibo",3,neutral,NEG,0.9776605367660522,0.9776605367660522,0.0195233970880508,0.0028161241207271,neutral,,,,
14,"Hay variedad, sin embargo los carritos siempre están en malas condiciones ,sucios y las ruedas no giran ya que tiene bolas de pelo, al empujar el coche se va hacia los lados. Es terrible !",3,neutral,NEG,0.9774271249771118,0.9774271249771118,0.0197467934340238,0.0028260934632271,neutral,,,,
15,Mala atención y si no haces problemas no te atienden 👎…,3,neutral,NEG,0.9773923754692078,0.9773923754692078,0.0195884630084037,0.0030190807301551,neutral,,,,
16,La sección mariscos es muy limitado. El estacionamiento es problemático. No hay suficiente espacios. El acceso a la tienda también es muy difícil debido a las calles angostas. No tiene parking adecuado. No tienes cafetería o café dónde picar algo. Tampoco tienen un Dunkin donuts o un MacDonalds o similar. Es muy limitado.,3,neutral,NEG,0.9772534966468812,0.9772534966468812,0.0202788356691598,0.002467596437782,neutral,,,,
17,"Al llegar me abordaron tres tipos de mal vivir, dijeron que verían mi moto y qué la propina era voluntaria. Aunque no les di nada es incómodo y malogra la experiencia de compra.",3,neutral,NEG,0.9767146110534668,0.9767146110534668,0.0207348372787237,0.0025505486410111,neutral,,,,
18,"Pongo tres porque el personal de caja muy atentos y servicial, sin embargo la srta de atención al cliente te trata como si te hiciera un favor pesimo",3,neutral,NEG,0.9765674471855164,0.9765674471855164,0.0200856160372495,0.0033469768241047,neutral,,,,
19,"Excelente ubicación pero pésima atención, las pantallas led de información en malas condiciones y falta de personal calificado.",3,neutral,NEG,0.9765620231628418,0.9765620231628418,0.0192470476031303,0.0041909175924956,neutral,,,,
20,"Wong es bueno en general, pero a veces por culpa de cierto personal no competente, le causa molestias grandes a los clientes y toca bajarle la calificación... a ver si Wong se reivindica al menos con una disculpa publica. En este caso particular fue maltrato hacia mi persona.",3,neutral,NEG,0.9762614965438844,0.9762614965438844,0.0211989432573318,0.0025395669508725,neutral,,,,
21,Muy mal servicio al cliente,3,neutral,NEG,0.9762149453163148,0.9762149453163148,0.0192126668989658,0.0045723957009613,neutral,,,,
22,"No me gustaron los precios de los productos primera necesidades, las colas para pagar en caja, se extienden por los pasadizos impidiendo el libre desplazamiento para hacer las compras, además incumpliendo con el distanciamiento social. Falta orden en ese sentido.",3,neutral,NEG,0.9759180545806884,0.9759180545806884,0.0206842105835676,0.0033978186547756,neutral,,,,
