id_registro,etiqueta_llm,confianza_llm,justificacion_llm
806,muy negativo,0.99,"Queja grave, pérdida de dinero, recomienda no usar el servicio"
2969,neutral,0.88,"Elogia instalaciones y ofertas, pero critica largas colas por cajas cerradas"
3872,positivo,0.9,"Destaca excelente atención, aunque lamenta el servicio general del banco"
4084,negativo,0.85,"Critica a cajera antipática y lenta, aunque reconoce buen trato general"
3613,neutral,0.84,"Alaba variedad y descuentos, pero denuncia exclusión de extranjeros para tarjeta"
4349,positivo,0.9,"Nota mejora y buen apoyo, aunque echa de menos filete de pavo"
3746,muy positivo,0.97,Expresa entusiasmo y recomienda fuertemente el lugar
4280,neutral,0.86,"Elogia variedad y cordialidad, pero critica cobro de estacionamiento y falta de producto"
790,neutral,0.8,Observación neutral sobre la afluencia de clientes
4713,negativo,0.85,Se queja de ausencia de módulo de teleticket y solicita corrección
2290,neutral,0.84,"Elogia atención amable, pero critica servicio telefónico deficiente"
774,negativo,0.88,Expresa insatisfacción breve sin detalles graves
559,neutral,0.82,"Critica lentitud, pero reconoce mejoras y buenos planes"
193,positivo,0.8,Destaca aspecto moderno del lugar
3543,negativo,0.9,"Alaba distribución y cochera, pero critica baños sucios y malolientes"
4007,muy positivo,0.96,"Recomienda con entusiasmo, destaca variedad, buen precio y calidad"
181,neutral,0.78,Palabra aislada sin carga emocional clara
1552,neutral,0.84,"Elogia productos, pero señala desorden en cajas"
1178,neutral,0.81,"Aprecia novedades atractivas, aunque menciona indecisión y posible exceso de gasto"
4358,neutral,0.85,"Elogia servicio excelente, pero critica precios excesivos"
2872,muy positivo,0.96,Entusiasmo y elogio sin reservas
351,negativo,0.88,"Queja de lentitud, pero menciona buen trato"
3968,positivo,0.85,"Elogio de rapidez, aunque incluye anécdota preocupante"
952,neutral,0.92,Texto informativo sin opiniones claras
3417,negativo,0.9,"Critica personal, pese a buen espacio"
4341,neutral,0.87,"Elogio del local, pero señala falta de atención"
50,neutral,0.95,Comentario breve sin valoración
90,neutral,0.94,Información descriptiva sin juicio
3245,negativo,0.89,"Quejas de parqueo y colas, pese a limpieza"
782,positivo,0.93,Expresa solución satisfactoria
3905,neutral,0.86,"Elogio del patio, advierte sobre productos"
170,neutral,0.96,Respuesta breve sin emoción
153,muy negativo,0.94,Queja grave de falta de comunicación
4651,negativo,0.84,"Critica vigilancia intrusiva, sugiere mejoras"
3729,neutral,0.95,Observación sin valoración
4673,positivo,0.88,"Elogio general, con sugerencias de mejora"
4224,muy positivo,0.97,Entusiasmo y elogios abundantes
3692,neutral,0.93,Descripción factual sin juicio
3678,negativo,0.85,Queja de cobro y calidad disminuida
1044,negativo,0.87,"Elogio del local, pero menciona demora"
2189,muy positivo,0.92,"Elogia rapidez, buen trato y recomienda cambiar"
1083,neutral,0.85,"Solo informa búsqueda, sin valoración"
4020,positivo,0.88,Resalta variedad sin quejas
585,negativo,0.9,Elogia atención pero critica larga cola y falta de ventanillas
4215,neutral,0.86,Combina elogios y quejas sin predominio claro
2392,negativo,0.9,Elogia servicio pero critica falta de solución
2587,neutral,0.84,Alaba precios pero señala escasez de marcas
1398,muy positivo,0.95,"Recomienda enfáticamente, lo califica de lujazo"
1169,neutral,0.88,"Elogia lugar y variedad, pero critica falta de diversificación"
2869,positivo,0.87,"Destaca seguridad y ambiente, sugiere bajar volumen"
12,neutral,0.9,"Solo informa horario, sin valoración"
810,muy negativo,0.93,Desaconseja rotundamente el lugar
2454,negativo,0.88,Elogia atención pero critica trabas excesivas
1661,muy negativo,0.94,"Denuncia espera de un año, tono fuertemente negativo"
3456,muy positivo,0.9,Entusiasmo por variedad y precios bajos
3971,positivo,0.85,Resalta accesibilidad y variedad
2455,negativo,0.88,Elogia atención pero queja por falta de solución
3792,positivo,0.86,Destaca gran variedad de ropa deportiva
4671,neutral,0.85,"Elogia personal, señala desorganización"
3021,muy positivo,0.95,Entusiasmo y amplia oferta
971,positivo,0.9,Buen servicio y resolución de reclamos
3089,neutral,0.85,"Ambiente agradable, pero problemas en autoservicio y atención"
1438,negativo,0.9,"Faltaron piezas de pollo, descontento"
