id_revision_neutral,comentario_limpio,estrellas,sentimiento_estrella,sentimiento_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final_provisional,puntaje_neutral,criterios_neutral,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia
1,"Tamaño regular, si cas en auto recomiendo estacionar en el frontis que da a la av universitaria ya que al costado no hay confianza debido a que hay personas que cuando sales a recojer tu auto aparecen para cobrarte porqur dicen que lo cuidaron.",3,neutral,NEG,0.5128744840621948,0.5128744840621948,0.4588797688484192,0.0282457284629344,neutral,9.45887976884842,estrella_3;provisional_neutral;patron_textual_neutral,,,,
2,"Bien pero lo que he notado últimamente sin los detalles del personal de servicio que los veo poco amigables y con mucha seriedad, no les caería un poquito de cortesía y mejor buena onda, al menos saludar y dar la bienvenida. En cuanto a lo demás todo bien.",3,neutral,NEG,0.4705637395381927,0.4705637395381927,0.4586344957351684,0.0708017870783805,neutral,9.458634495735168,estrella_3;provisional_neutral;patron_textual_neutral,,,,
3,Está bien aunque no hay mucha variedad.,3,neutral,POS,0.5334340333938599,0.0140168434008955,0.4525490701198578,0.5334340333938599,neutral,9.452549070119858,estrella_3;provisional_neutral;patron_textual_neutral,,,,
4,"Plaza Vea debe controlar mejor la calidad de sus uvas blancas, insipidas o ácidas desde hace meses. Idem las Mandarinas. Hasta hace dos semanas eran grandes, dulces, con pepas. Desde navidad, sus mandarinas parecen limones (sin pepas pero chiquitas, verdes y ácidas). Mejor vuelvan al proveedor anterior de mandarinas.",3,neutral,NEG,0.5314009189605713,0.5314009189605713,0.4349169433116913,0.0336821526288986,neutral,9.434916943311691,estrella_3;provisional_neutral;patron_textual_neutral,,,,
5,"Edificio de18 pisos con una enorme pantalla de luces LED que forma interesantes figuras según la ocasión. Sede del Banco de Crédito del Perú ubicado en la esquina de las avenidas Juan de Arona y Rivera Navarrete en el distrito de San Isidro. Es un edificio de oficinas pero en el primer piso hay una agencia del banco, la cual considero amplia",3,neutral,POS,0.5618248581886292,0.01508529484272,0.4230898320674896,0.5618248581886292,neutral,9.42308983206749,estrella_3;provisional_neutral;patron_textual_neutral,,,,
6,"Es un buen local, amplio con muchos productos, su panadería es muy buena. Si piensas ir con auto particular, debes consumir cómo mínimo 20 soles para que te lo validen y no pagues el estacionamiento, no recuerdo la tarifa por hora, pero me pareció un poco caro.",3,neutral,POS,0.5232900381088257,0.0585235282778739,0.4181864261627197,0.5232900381088257,neutral,9.41818642616272,estrella_3;provisional_neutral;patron_textual_neutral,,,,
7,"El del jockey es uno de los ripleys mas grande de lima, no solo tiene muchísima variedad, si no que, además, está relativamente bien ubicado dentro del centro comercial, los precios son los mismos que en los demás ripleys y si bien la selección es más grande que en otras tiendas, tampoco están cerca de ofrecer nada mejor que tiendas más especializadas, por lo que, si no saben bien lo que necesitan, vayan acá, pero si ese no es el caso, busquen en otro lado",3,neutral,POS,0.567882776260376,0.0225714426487684,0.4095457792282104,0.567882776260376,neutral,9.40954577922821,estrella_3;provisional_neutral;patron_textual_neutral,,,,
8,"Buena precios, casi siempre tienen rebajas, hay marcas que no están en todos los Ripley, sugiero no comprar por su pag. Web porque la mayoría de veces no entregan el producto ni devuelven el dinero, lo mismo pasa cuando se devuelven personalmente, dicen que realizarán el abono a la tarjeta con la cual se pagó, pero tampoco lo hacen. Por lo general su personal es amable. Deben entregar bolsas de papel o de tela para poder llevar sus productos.",3,neutral,NEG,0.5858967304229736,0.5858967304229736,0.4010166227817535,0.0130866887047886,neutral,9.401016622781754,estrella_3;provisional_neutral;patron_textual_neutral,,,,
9,"Si bien el servicio no es WOW ,es muy rápido. El personal se distrae rápido y olvida que tiene clientes al frente . Se nota que son muy juniors ,pero deben tener un poco de discreción al momento de comentar cosas . Yo ya se que procesos se pueden o no hacer con pasaporte vencido",3,neutral,NEG,0.5832736492156982,0.5832736492156982,0.3931290805339813,0.0235973019152879,neutral,9.393129080533981,estrella_3;provisional_neutral;patron_textual_neutral,,,,
10,"Las escaleras para bajar y subir en mi opinión no están ordenadas, al 2do piso, subir fué fácil bajar tuve que dar 3 o 4 vueltas y pude encontrarlas tenia un arco pero aun así demoré y luego escuchó que una familia estaba igual que yo buscando escaleras. Una señalizacion mejor.",3,neutral,NEG,0.5978277921676636,0.5978277921676636,0.3882185518741607,0.0139536196365952,neutral,9.38821855187416,estrella_3;provisional_neutral;patron_textual_neutral,,,,
11,Muchas variedad de productos pero muy caro,3,neutral,NEG,0.5812422633171082,0.5812422633171082,0.3862972557544708,0.0324604287743568,neutral,9.38629725575447,estrella_3;provisional_neutral;patron_textual_neutral,,,,
12,"Muy buen lugar con mucha ropa de buenas marcas. También hay una sección de corte de cabello en el segundo piso, pero las que atienden son venezolanas y me pidieron mi DNI y mi número telefónico y según la recepcionista era para la boleta, el peluquero era muy bueno pero también me hacía preguntas muy privadas como de qué parte del Perú era. Luego empecé a recibir llamadas spam, y en la boleta no pusieron mi teléfono, creo que los venezolanos me sacaban información con mala intención para convertirla con terceros, eso no me gustó que permitan que trabajen venezolanos allí.",3,neutral,NEG,0.6125924587249756,0.6125924587249756,0.3713288009166717,0.0160787384957075,neutral,9.371328800916672,estrella_3;provisional_neutral;patron_textual_neutral,,,,
13,"La atención suele ser rápida, aunque los sistemas que manejan llegan a ralentizar al usuario. Hay buenos equipos en exhibición, al alcance del cliente, la caja de pago es rápida. Puede decirse que el cliente sale satisfecho incluso si no llega a adquirir equipo alguno. Puntos en contra que no haya estacionamiento exclusivo para clientes tanto en auto y moto, inconcebible para estar ubicado en el corazón financiero de Lima.",3,neutral,NEG,0.5606432557106018,0.5606432557106018,0.3654098808765411,0.0739468932151794,neutral,9.365409880876541,estrella_3;provisional_neutral;patron_textual_neutral,,,,
14,"Congestionadisimo, pero de alguna manera su personal es amable",3,neutral,POS,0.6026527285575867,0.0328922718763351,0.364454984664917,0.6026527285575867,neutral,9.364454984664917,estrella_3;provisional_neutral;patron_textual_neutral,,,,
15,"Si encontré lo que quería, pero las ofertas son solo para las personas que tengan la tarjeta OH . Eso no me parece es como te estubieran obligando a tener dicha tarjeta.",3,neutral,NEG,0.6412668824195862,0.6412668824195862,0.3459876775741577,0.0127454660832881,neutral,9.345987677574158,estrella_3;provisional_neutral;patron_textual_neutral,,,,
16,La atención es rápida pero no te informan bien el trámite que haces,3,neutral,NEG,0.6436508893966675,0.6436508893966675,0.3380251824855804,0.0183239225298166,neutral,9.33802518248558,estrella_3;provisional_neutral;patron_textual_neutral,,,,
17,"Se demoraron un poco, parecía que la chica recién comenzaba y no sabía varios procesos. Pero igual su atención buena y amable.",3,neutral,POS,0.6980578303337097,0.0182108823210001,0.2837312817573547,0.6980578303337097,neutral,9.283731281757355,estrella_3;provisional_neutral;patron_textual_neutral,,,,
18,"Variedad de productos de todo tipos pero un poco reducidos en cuanto a diversidad, local limpio y agradable a la vista, para una compra de comida muy urgente o diaria, sin grandes exigencias está bien.",3,neutral,POS,0.7084071636199951,0.0092387981712818,0.2823539972305298,0.7084071636199951,neutral,9.28235399723053,estrella_3;provisional_neutral;patron_textual_neutral,,,,
19,Local bueno pero mal trato al cliente,3,neutral,NEG,0.6945969462394714,0.6945969462394714,0.2732027769088745,0.0322003066539764,neutral,9.273202776908875,estrella_3;provisional_neutral;patron_textual_neutral,,,,
20,"Fui a recoger un producto que compre por internet, el producto en perfecto estado pero la bolsa en la q me llegó estaba empolvada, buena atención por parte de las señoritas pero el lugar donde estaban los productos parecee Star sucio y me lleve eso lleno de Polvo",3,neutral,NEG,0.6956887245178223,0.6956887245178223,0.2721548676490783,0.0321563407778739,neutral,9.272154867649078,estrella_3;provisional_neutral;patron_textual_neutral,,,,
