id_revision_neutral,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia
1,negativo,alta,Crítica clara sobre la experiencia,si
2,neutral,media,Combina aspectos positivos y negativos,si
3,neutral,media,Combina aspectos positivos y negativos,si
4,neutral,media,Combina aspectos positivos y negativos,si
5,neutral,media,Combina aspectos positivos y negativos,si
6,neutral,media,Combina aspectos positivos y negativos,si
7,neutral,media,Combina aspectos positivos y negativos,si
8,neutral,media,Combina aspectos positivos y negativos,si
9,neutral,media,Combina aspectos positivos y negativos,si
10,neutral,media,Combina aspectos positivos y negativos,si
11,neutral,media,Combina aspectos positivos y negativos,si
12,neutral,media,Combina aspectos positivos y negativos,si
13,neutral,media,Combina aspectos positivos y negativos,si
14,neutral,media,Combina aspectos positivos y negativos,si
15,neutral,media,Combina aspectos positivos y negativos,si
16,neutral,media,Combina aspectos positivos y negativos,si
17,neutral,media,Combina aspectos positivos y negativos,si
18,neutral,media,Combina aspectos positivos y negativos,si
19,neutral,media,Combina aspectos positivos y negativos,si
20,neutral,media,Combina aspectos positivos y negativos,si
21,neutral,media,Combina aspectos positivos y negativos,si
22,neutral,media,Combina aspectos positivos y negativos,si
23,neutral,media,Combina aspectos positivos y negativos,si
24,neutral,media,Combina aspectos positivos y negativos,si
25,neutral,media,Combina aspectos positivos y negativos,si
26,neutral,media,Combina aspectos positivos y negativos,si
27,neutral,media,Combina aspectos positivos y negativos,si
28,positivo,alta,Comentario favorable sobre la experiencia,si
29,neutral,media,Combina aspectos positivos y negativos,si
30,neutral,media,Combina aspectos positivos y negativos,si
31,neutral,media,Combina aspectos positivos y negativos,si
32,positivo,alta,Comentario favorable sobre la experiencia,si
33,neutral,media,Combina aspectos positivos y negativos,si
34,neutral,media,Combina aspectos positivos y negativos,si
35,neutral,media,Combina aspectos positivos y negativos,si
36,neutral,media,Combina aspectos positivos y negativos,si
37,neutral,media,Combina aspectos positivos y negativos,si
38,neutral,media,Combina aspectos positivos y negativos,si
39,neutral,media,Combina aspectos positivos y negativos,si
40,neutral,media,Combina aspectos positivos y negativos,si
41,neutral,media,Combina aspectos positivos y negativos,si
42,neutral,media,Combina aspectos positivos y negativos,si
43,neutral,media,Combina aspectos positivos y negativos,si
44,neutral,media,Combina aspectos positivos y negativos,si
45,neutral,media,Combina aspectos positivos y negativos,si
46,negativo,media,Tiene elogios pero predomina la queja,si
47,neutral,media,Combina aspectos positivos y negativos,si
48,neutral,media,Combina aspectos positivos y negativos,si
49,neutral,media,Combina aspectos positivos y negativos,si
50,positivo,alta,Comentario favorable sobre la experiencia,si
51,neutral,media,Combina aspectos positivos y negativos,si
52,neutral,media,Combina aspectos positivos y negativos,si
53,muy negativo,alta,Queja fuerte o rechazo claro,si
54,neutral,media,Combina aspectos positivos y negativos,si
55,neutral,media,Combina aspectos positivos y negativos,si
56,muy negativo,alta,Queja fuerte o rechazo claro,si
57,neutral,media,Combina aspectos positivos y negativos,si
58,neutral,media,Combina aspectos positivos y negativos,si
59,neutral,media,Combina aspectos positivos y negativos,si
60,neutral,media,Combina aspectos positivos y negativos,si
61,neutral,media,Combina aspectos positivos y negativos,si
62,neutral,media,Combina aspectos positivos y negativos,si
63,neutral,media,Combina aspectos positivos y negativos,si
64,neutral,media,Combina aspectos positivos y negativos,si
65,neutral,media,Combina aspectos positivos y negativos,si
66,neutral,media,Combina aspectos positivos y negativos,si
67,neutral,media,Combina aspectos positivos y negativos,si
68,neutral,media,Combina aspectos positivos y negativos,si
69,negativo,media,Tiene elogios pero predomina la queja,si
70,neutral,media,Combina aspectos positivos y negativos,si
71,neutral,media,Combina aspectos positivos y negativos,si
72,neutral,media,Combina aspectos positivos y negativos,si
73,neutral,media,Combina aspectos positivos y negativos,si
74,negativo,media,Tiene elogios pero predomina la queja,si
75,neutral,media,Combina aspectos positivos y negativos,si
76,neutral,media,Combina aspectos positivos y negativos,si
77,muy negativo,alta,Queja fuerte o rechazo claro,si
78,neutral,media,Combina aspectos positivos y negativos,si
79,neutral,media,Combina aspectos positivos y negativos,si
80,neutral,media,Combina aspectos positivos y negativos,si
81,neutral,media,Combina aspectos positivos y negativos,si
82,negativo,media,Tiene elogios pero predomina la queja,si
83,neutral,media,Combina aspectos positivos y negativos,si
84,negativo,alta,Crítica clara sobre la experiencia,si
85,negativo,media,Tiene elogios pero predomina la queja,si
86,neutral,media,Combina aspectos positivos y negativos,si
87,muy negativo,alta,Queja fuerte o rechazo claro,si
88,negativo,media,Tiene elogios pero predomina la queja,si
89,neutral,media,Combina aspectos positivos y negativos,si
90,muy negativo,alta,Queja fuerte o rechazo claro,si
91,neutral,media,Combina aspectos positivos y negativos,si
92,negativo,media,Tiene elogios pero predomina la queja,si
93,muy positivo,alta,Elogio fuerte y recomendación clara,si
94,neutral,media,Combina aspectos positivos y negativos,si
95,neutral,media,Combina aspectos positivos y negativos,si
96,neutral,media,Combina aspectos positivos y negativos,si
97,neutral,media,Combina aspectos positivos y negativos,si
98,muy positivo,alta,Elogio fuerte y recomendación clara,si
99,neutral,media,Combina aspectos positivos y negativos,si
100,neutral,media,Combina aspectos positivos y negativos,si
101,muy negativo,alta,Queja fuerte o rechazo claro,si
102,negativo,media,Tiene elogios pero predomina la queja,si
103,neutral,media,Combina aspectos positivos y negativos,si
104,neutral,media,Combina aspectos positivos y negativos,si
105,positivo,alta,Comentario favorable sobre la experiencia,si
106,positivo,alta,Comentario favorable sobre la experiencia,si
107,neutral,baja,Texto ambiguo o poco concluyente,no
108,neutral,media,Combina aspectos positivos y negativos,si
109,positivo,alta,Comentario favorable sobre la experiencia,si
