id_revision,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia
1,negativo,alta,Crítica clara pero no extrema,si
2,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
3,muy positivo,alta,Elogio claro o recomendación explícita,si
4,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
5,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
6,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
7,negativo,alta,Crítica clara pero no extrema,si
8,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
9,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
10,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
11,negativo,alta,Crítica clara pero no extrema,si
12,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
13,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
14,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
15,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
16,negativo,alta,Crítica clara pero no extrema,si
17,negativo,media,Predomina la crítica pese a aspectos positivos,si
18,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
19,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
20,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
21,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
22,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
23,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
24,negativo,alta,Crítica clara pero no extrema,si
25,positivo,alta,Comentario favorable sin queja relevante,si
26,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
27,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
28,negativo,alta,Crítica clara pero no extrema,si
29,muy positivo,alta,Elogio claro o recomendación explícita,si
30,negativo,alta,Crítica clara pero no extrema,si
31,negativo,alta,Crítica clara pero no extrema,si
32,positivo,alta,Comentario favorable sin queja relevante,si
33,muy positivo,alta,Elogio claro o recomendación explícita,si
34,negativo,alta,Crítica clara pero no extrema,si
35,positivo,alta,Comentario favorable sin queja relevante,si
36,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
37,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
38,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
39,negativo,alta,Crítica clara pero no extrema,si
40,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
41,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
42,negativo,alta,Crítica clara pero no extrema,si
43,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
44,negativo,alta,Crítica clara pero no extrema,si
45,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
46,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
47,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
48,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
49,negativo,alta,Crítica clara pero no extrema,si
50,negativo,alta,Crítica clara pero no extrema,si
51,negativo,media,Predomina la crítica pese a aspectos positivos,si
52,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
53,muy positivo,alta,Elogio claro o recomendación explícita,si
54,negativo,media,Modelo apoya crítica sin intensidad textual,si
55,muy positivo,alta,Elogio claro o recomendación explícita,si
56,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
57,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
58,negativo,alta,Crítica clara pero no extrema,si
59,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
60,neutral,media,Opinión mixta con valoración equilibrada,si
61,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
62,muy positivo,alta,Elogio claro o recomendación explícita,si
63,positivo,alta,Comentario favorable sin queja relevante,si
64,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
65,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
66,negativo,media,Modelo apoya crítica sin intensidad textual,si
67,negativo,alta,Crítica clara pero no extrema,si
68,positivo,alta,Comentario favorable sin queja relevante,si
69,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
70,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
71,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
72,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
73,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
74,negativo,media,Modelo apoya crítica sin intensidad textual,si
75,positivo,media,Modelo apoya valoración favorable,si
76,negativo,alta,Crítica clara pero no extrema,si
77,muy positivo,alta,Elogio claro o recomendación explícita,si
78,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
79,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
80,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
81,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
82,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
83,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
84,negativo,alta,Crítica clara pero no extrema,si
85,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
86,negativo,alta,Crítica clara pero no extrema,si
87,positivo,alta,Comentario favorable sin queja relevante,si
88,negativo,media,Predomina la crítica pese a aspectos positivos,si
89,muy positivo,alta,Elogio claro o recomendación explícita,si
90,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
91,positivo,media,Predomina valoración favorable con matices,si
92,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
93,negativo,media,Modelo apoya crítica sin intensidad textual,si
94,negativo,alta,Crítica clara pero no extrema,si
95,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
96,negativo,alta,Crítica clara pero no extrema,si
97,negativo,media,Modelo apoya crítica sin intensidad textual,si
98,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
99,negativo,alta,Crítica clara pero no extrema,si
100,negativo,media,Modelo apoya crítica sin intensidad textual,si
101,negativo,media,Modelo apoya crítica sin intensidad textual,si
102,negativo,alta,Crítica clara pero no extrema,si
103,negativo,media,Predomina la crítica pese a aspectos positivos,si
104,positivo,alta,Comentario favorable sin queja relevante,si
105,positivo,alta,Comentario favorable sin queja relevante,si
106,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
107,muy positivo,alta,Elogio claro o recomendación explícita,si
108,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
109,negativo,alta,Crítica clara pero no extrema,si
110,negativo,media,Modelo apoya crítica sin intensidad textual,si
111,muy negativo,alta,Queja fuerte y experiencia muy negativa,si
